step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
58,CASH_OUT,580.0,C058,680.0,100.0,M058,500.0,1080.0,0,0
59,DEBIT,590.0,C059,690.0,100.0,M059,500.0,1090.0,0,0
60,TRANSFER,600.0,C060,700.0,100.0,C060D,500.0,1100.0,1,0
61,CASH_IN,610.0,C061,0.0,610.0,M061,500.0,1110.0,0,0
62,PAYMENT,620.0,C062,720.0,100.0,M062,500.0,1120.0,0,0
63,TRANSFER,630.0,C063,730.0,100.0,C063D,500.0,1130.0,0,0
64,CASH_OUT,640.0,C064,740.0,100.0,M064,500.0,1140.0,0,0
65,DEBIT,650.0,C065,750.0,100.0,M065,500.0,1150.0,0,0
66,PAYMENT,660.0,C066,760.0,100.0,M066,500.0,1160.0,0,0
67,TRANSFER,670.0,C067,770.0,100.0,C067D,500.0,1170.0,0,0
68,CASH_OUT,680.0,C068,780.0,100.0,M068,500.0,1180.0,0,0
69,DEBIT,690.0,C069,790.0,100.0,M069,500.0,1190.0,0,0
70,TRANSFER,700.0,C070,800.0,100.0,C070D,500.0,1200.0,1,0
71,CASH_IN,710.0,C071,0.0,710.0,M071,500.0,1210.0,0,0
72,PAYMENT,720.0,C072,820.0,100.0,M072,500.0,1220.0,0,0
73,TRANSFER,730.0,C073,830.0,100.0,C073D,500.0,1230.0,0,0
74,CASH_OUT,740.0,C074,840.0,100.0,M074,500.0,1240.0,0,0
75,DEBIT,750.0,C075,850.0,100.0,M075,500.0,1250.0,0,0
76,PAYMENT,760.0,C076,860.0,100.0,M076,500.0,1260.0,0,0
77,TRANSFER,770.0,C077,870.0,100.0,C077D,500.0,1270.0,0,0
78,CASH_OUT,780.0,C078,880.0,100.0,M078,500.0,1280.0,0,0
79,DEBIT,790.0,C079,890.0,100.0,M079,500.0,1290.0,0,0
80,TRANSFER,800.0,C080,900.0,100.0,C080D,500.0,1300.0,1,0
81,CASH_IN,810.0,C081,0.0,810.0,M081,500.0,1310.0,0,0
82,PAYMENT,820.0,C082,920.0,100.0,M082,500.0,1320.0,0,0
83,TRANSFER,830.0,C083,930.0,100.0,C083D,500.0,1330.0,0,0
84,CASH_OUT,840.0,C084,940.0,100.0,M084,500.0,1340.0,0,0
85,DEBIT,850.0,C085,950.0,100.0,M085,500.0,1350.0,0,0
86,PAYMENT,860.0,C086,960.0,100.0,M086,500.0,1360.0,0,0
87,TRANSFER,870.0,C087,970.0,100.0,C087D,500.0,1370.0,0,0
88,CASH_OUT,880.0,C088,980.0,100.0,M088,500.0,1380.0,0,0
89,DEBIT,890.0,C089,990.0,100.0,M089,500.0,1390.0,0,0
90,TRANSFER,900.0,C090,1000.0,100.0,C090D,500.0,1400.0,1,0
91,CASH_IN,910.0,C091,0.0,910.0,M091,500.0,1410.0,0,0
92,PAYMENT,920.0,C092,1020.0,100.0,M092,500.0,1420.0,0,0
93,TRANSFER,930.0,C093,1030.0,100.0,C093D,500.0,1430.0,0,0
94,CASH_OUT,940.0,C094,1040.0,100.0,M094,500.0,1440.0,0,0
95,DEBIT,950.0,C095,1050.0,100.0,M095,500.0,1450.0,0,0
96,PAYMENT,960.0,C096,1060.0,100.0,M096,500.0,1460.0,0,0
97,TRANSFER,970.0,C097,1070.0,100.0,C097D,500.0,1470.0,0,0
98,CASH_OUT,980.0,C098,1080.0,100.0,M098,500.0,1480.0,0,0
99,DEBIT,990.0,C099,1090.0,100.0,M099,500.0,1490.0,0,0
100,TRANSFER,1000.0,C100,1100.0,100.0,C100D,500.0,1500.0,1,1
